name,brand_name,price,couponStatus,code,link
Fabric detail: Combed cotton rich,jockey,799,Coupon Applicable,465744208003,/jockey-fabric-detail-combed-cotton-rich/p/465744208_black
Men Embroidered Baseball Cap,dnmx,359,Coupon Applicable,441699872001,/dnmx-men-embroidered-baseball-cap/p/441699872_yellow
Mesh Panelled Baseball Cap,puma,1424,Coupon Applicable,469452983001,/puma-mesh-panelled-baseball-cap/p/469452983_black
Men Baseball Cap with Brand Applique,teamspirit,299,Coupon Applicable,441405058001,/teamspirit-men-baseball-cap-with-brand-applique/p/441405058_grey
Men Baseball Cap with Embroidered Logo,puma,573,Coupon Applicable,469118750001,/puma-men-baseball-cap-with-embroidered-logo/p/469118750_white
Embroidered Baseball Cap with Adjustable Closure,puma,1250,Coupon Applicable,466117243001,/puma-embroidered-baseball-cap-with-adjustable-closure/p/466117243_black
Men Embroidered Typography Baseball Cap,dnmx,299,Coupon Applicable,441405069001,/dnmx-men-embroidered-typography-baseball-cap/p/441405069_blue
Men Baseball Cap with Captain America Icon,disney,299,Coupon Applicable,441221899001,/disney-men-baseball-cap-with-captain-america-icon/p/441221899_black
Sun Hat with Contrast Taping,jack-jones,1169,Coupon Applicable,469430212001,/jack--jones-sun-hat-with-contrast-taping/p/469430212_beige
Typographic Print Baseball Cap,puma,480,Coupon Applicable,460535575001,/puma-typographic-print-baseball-cap/p/460535575_red
Men Scuderia Ferrari SPTWR Motorsport Baseball Cap,puma,700,Coupon Applicable,469284771001,/puma-men-scuderia-ferrari-sptwr-motorsport-baseball-cap/p/469284771_blue
Men Camouflage Print Flat Cap,matchitt,479,Coupon Applicable,442028443001,/matchitt-men-camouflage-print-flat-cap/p/442028443_grey
Men Brand Embroidered Snapback Cap,teamspirit,299,Coupon Applicable,441378214001,/teamspirit-men-brand-embroidered-snapback-cap/p/441378214_maroon
Scuderia Ferrari RCT Cap,puma,1169,Coupon Applicable,460835369001,/puma-scuderia-ferrari-rct-cap/p/460835369_black
Men Jack men caps & hats black os,jack-jones,540,Coupon Applicable,469270566001,/jack--jones-men-jack-men-caps--hats-black-os/p/469270566_black
Men Logo Print Running Cap,puma,336,Coupon Applicable,469178038001,/puma-men-logo-print-running-cap/p/469178038_black
Men Brand Print Performance Cap,puma,320,Coupon Applicable,469178040001,/puma-men-brand-print-performance-cap/p/469178040_black
